VESSEL_ID,Trip_ID,OBSET_ID,Total_Hooks_Set,Hooks_Observed,BSL,Birds_Obs_Caught,Season,Hooks_Recovered,Year,Regulation
Liper,FAO32,Faustinus Mutangara _32_2,10406,,Yes,0,Summer,6853,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_1,10406,,Yes,0,Summer,6847,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_2,10406,,Yes,0,Summer,6381,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_1,10406,,Yes,0,Summer,5183,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_2,10406,,Yes,0,Summer,5390,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_1,10406,,Yes,0,Summer,7148,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_2,10406,,Yes,0,Summer,7529,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_1,10406,,Yes,0,Summer,6398,2018,AFTER
Liper,FAO32,Faustinus Mutangara _32_2,10406,,Yes,1,Summer,6653,2018,AFTER
Blomeha,FAO33,Faustinus Mutangara _33_,15300,,Yes,0,Summer,15195,2018,AFTER
Blomeha,FAO33,Faustinus Mutangara _33_,15302,,Yes,0,Summer,15159,2018,AFTER
Blomeha,FAO33,Faustinus Mutangara _33_,15750,,Yes,0,Summer,15608,2018,AFTER
Blomeha,FAO33,Faustinus Mutangara _33_,14850,,Yes,0,Summer,14705,2018,AFTER
Carolina Castro,FAO34,Bathromeus L_34_,16200,,No,0,Summer,12000,2018,AFTER
Carolina Castro,FAO34,Bathromeus L_34_,16200,,No,0,Summer,12400,2018,AFTER
Carolina Castro,FAO34,Bathromeus L_34_,16200,,No,0,Summer,10000,2018,AFTER
Carolina Castro,FAO34,Bathromeus L_34_,16200,,No,0,Summer,11000,2018,AFTER
Carolina Castro,FAO34,Bathromeus L_34_,16200,,No,0,Summer,14000,2018,AFTER
Carolina Castro,FAO34,Bathromeus L_34_,9900,,No,0,Summer,9500,2018,AFTER
Carolina Castro,FAO35,Onesmus I Iipinge_35_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO35,Onesmus I Iipinge_35_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO35,Onesmus I Iipinge_35_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO35,Onesmus I Iipinge_35_1,18000,,Yes,0,Winter,17800,2018,AFTER
Carolina Castro,FAO35,Onesmus I Iipinge_35_1,15700,,Yes,0,Winter,15500,2018,AFTER
Lunan Bay,FAO36,I M Johaness_36_1,15470,,Yes,0,Winter,14000,2018,AFTER
Lunan Bay,FAO36,I M Johaness_36_1,16354,,Yes,0,Winter,15200,2018,AFTER
Lunan Bay,FAO36,I M Johaness_36_1,18001,,Yes,3,Winter,17600,2018,AFTER
Lunan Bay,FAO36,I M Johaness_36_1,7182,,Yes,1,Winter,7000,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,25510,,Yes,0,Winter,25410,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,25650,,Yes,0,Winter,25550,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,24975,,Yes,0,Winter,24825,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,25785,,Yes,0,Winter,25685,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,25650,,Yes,0,Winter,25540,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,24300,,Yes,0,Winter,24200,2018,AFTER
Joao N Castro,FAO37,J Shinyema _37_1,26460,,Yes,0,Winter,26360,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,24930,,Yes,0,Winter,24820,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,9000,,Yes,0,Winter,8934,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_2,9900,,Yes,0,Winter,9800,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,25200,,Yes,0,Winter,25150,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,22950,,Yes,0,Winter,22830,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,9000,,Yes,0,Winter,8950,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_2,9000,,Yes,0,Winter,8900,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,11700,,Yes,0,Winter,11638,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_2,7200,,Yes,0,Winter,7150,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,25020,,Yes,0,Winter,24890,2018,AFTER
Joao N Castro,FAO38,Johannes Sacheus _38_1,18000,,Yes,0,Winter,17940,2018,AFTER
Joao N Castro,FAO39,I Kandjengo_39_1,25920,,Yes,0,Summer,25750,2018,AFTER
Joao N Castro,FAO39,I Kandjengo_39_1,24750,,Yes,0,Summer,24650,2018,AFTER
Joao N Castro,FAO39,I Kandjengo_39_1,24300,,Yes,0,Summer,24200,2018,AFTER
Joao N Castro,FAO39,I Kandjengo_39_1,23850,,Yes,0,Summer,23730,2018,AFTER
Joao N Castro,FAO39,I Kandjengo_39_1,25200,,Yes,0,Summer,25000,2018,AFTER
Joao N Castro,FAO39,I Kandjengo_39_1,20250,,Yes,0,Summer,20205,2018,AFTER
Carolina Castro,FAO40,Samiel Howaseb _40_1,18000,,Yes,0,Summer,17000,2018,AFTER
Carolina Castro,FAO40,Samiel Howaseb _40_1,18200,,Yes,17,Summer,17000,2018,AFTER
Carolina Castro,FAO40,Samiel Howaseb _40_1,18200,,Yes,0,Summer,16500,2018,AFTER
Carolina Castro,FAO40,Samiel Howaseb _40_1,18000,,Yes,0,Summer,16500,2018,AFTER
Carolina Castro,FAO40,Samiel Howaseb _40_1,18000,,Yes,0,Winter,16400,2018,AFTER
Carolina Castro,FAO40,Samiel Howaseb _40_1,10000,,Yes,0,Winter,9000,2018,AFTER
Carolina Castro,FAO41,Shaalukeni Joseph_41_1,18000,,Yes,0,Winter,17000,2018,AFTER
Carolina Castro,FAO41,Shaalukeni Joseph_41_1,18000,,Yes,0,Winter,17000,2018,AFTER
Carolina Castro,FAO41,Shaalukeni Joseph_41_1,17000,,Yes,1,Winter,16000,2018,AFTER
Carolina Castro,FAO41,Shaalukeni Joseph_41_1,18000,,Yes,0,Winter,17000,2018,AFTER
Carolina Castro,FAO41,Shaalukeni Joseph_41_1,18000,,Yes,0,Winter,17000,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,1,Winter,6073,2018,AFTER
Liper,FAO42,Joel Mupota_42_2,10406,,Yes,0,Winter,6251,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,0,Winter,5938,2018,AFTER
Liper,FAO42,Joel Mupota_42_2,10406,,Yes,0,Winter,6015,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,0,Winter,6318,2018,AFTER
Liper,FAO42,Joel Mupota_42_2,10406,,Yes,0,Winter,6093,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,0,Winter,7831,2018,AFTER
Liper,FAO42,Joel Mupota_42_2,10406,,Yes,0,Winter,7538,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,0,Winter,6952,2018,AFTER
Liper,FAO42,Joel Mupota_42_2,10406,,Yes,0,Winter,7038,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,0,Winter,7948,2018,AFTER
Liper,FAO42,Joel Mupota_42_2,10406,,Yes,0,Winter,6372,2018,AFTER
Liper,FAO42,Joel Mupota_42_1,10406,,Yes,0,Winter,5137,2018,AFTER
Blomeha,FAO43,S Shilongo_43_1,15750,,Yes,0,Winter,15609,2018,AFTER
Blomeha,FAO43,S Shilongo_43_1,15750,,Yes,0,Winter,15615,2018,AFTER
Blomeha,FAO43,S Shilongo_43_1,15750,,Yes,0,Winter,15595,2018,AFTER
Blomeha,FAO43,S Shilongo_43_1,15480,,Yes,0,Winter,15300,2018,AFTER
Blomeha,FAO43,S Shilongo_43_1,9000,,Yes,0,Winter,8880,2018,AFTER
Carolina Castro,FAO44,Sylvester Nekonola_44_,16000,,Yes,8,Winter,15000,2018,AFTER
Carolina Castro,FAO44,Sylvester Nekonola_44_,18000,,Yes,4,Winter,17000,2018,AFTER
Carolina Castro,FAO46,George Haufiku_46_1,18000,,No,0,Winter,17000,2018,AFTER
Carolina Castro,FAO46,George Haufiku_46_1,18000,,No,0,Winter,17000,2018,AFTER
Carolina Castro,FAO46,George Haufiku_46_1,18000,,No,0,Winter,17000,2018,AFTER
Carolina Castro,FAO46,George Haufiku_46_1,18000,,No,0,Winter,17000,2018,AFTER
